"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 19 22:29:23 GMT 2021","Thu Aug 19 22:29:46 GMT 2021","22648","","customer.CustomerAccountPageTest","","customer.CustomerAccountPageTest","changePasswordTest","Meglévő adat módosítása - jelszó módosítása",""
"passed","Thu Aug 19 22:30:00 GMT 2021","Thu Aug 19 22:30:16 GMT 2021","15738","","customer.CustomerAccountPageTest","","customer.CustomerAccountPageTest","addressDataTest","Ismételt és sorozatos adatbevitel adatforrásból - profil kitöltés",""
"passed","Thu Aug 19 22:30:53 GMT 2021","Thu Aug 19 22:31:06 GMT 2021","12639","","login.LoginPageTest","","login.LoginPageTest","LoginTest","Sikeres bejelentkezés teszt",""
"passed","Thu Aug 19 22:31:27 GMT 2021","Thu Aug 19 22:31:39 GMT 2021","11410","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidPasswordTest","Sikertelen bejelentkezés teszt -helytelen jelszó",""
"broken","Thu Aug 19 22:30:38 GMT 2021","Thu Aug 19 22:30:53 GMT 2021","15524","","wish.WishlistPageTest","","wish.WishlistPageTest","wishlistDataTest","Új adat bevitel",""
"passed","Thu Aug 19 22:31:39 GMT 2021","Thu Aug 19 22:31:49 GMT 2021","10246","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidEmptyETest","Sikertelen bejelentkezés teszt -üres mail",""
"passed","Thu Aug 19 22:28:52 GMT 2021","Thu Aug 19 22:29:04 GMT 2021","11508","","privacypolicy.PrivacyPolicyPageTest","","privacypolicy.PrivacyPolicyPageTest","PrivacyPolicySaveToFileTest","Adadtkezelési nyilatkozat használata teszt - adatmentéssel",""
"passed","Thu Aug 19 22:28:42 GMT 2021","Thu Aug 19 22:28:52 GMT 2021","10417","","logout.LogoutPageTest","","logout.LogoutPageTest","LogoutTest","Sikeres kijeletkezés teszt",""
"broken","Thu Aug 19 22:29:04 GMT 2021","Thu Aug 19 22:29:23 GMT 2021","18996","","search.SearchPageTest","","search.SearchPageTest","dataListTest","Adatok listázása - szűrés",""
"passed","Thu Aug 19 22:32:02 GMT 2021","Thu Aug 19 22:32:20 GMT 2021","17445","","expertadvice.ExpertAdvicePageTest","","expertadvice.ExpertAdvicePageTest","paginationTest","Több oldalas lista bejárás teszt",""
"passed","Thu Aug 19 22:29:46 GMT 2021","Thu Aug 19 22:30:00 GMT 2021","14142","","customer.CustomerAccountPageTest","","customer.CustomerAccountPageTest","changePasswordInvalidTest","Meglévő adat módosítása - sikertelen jelszó módosítás",""
"passed","Thu Aug 19 22:31:06 GMT 2021","Thu Aug 19 22:31:16 GMT 2021","10118","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidEmptyPWTest","Sikertelen bejelentkezés teszt -üres jelszó",""
"passed","Thu Aug 19 22:31:16 GMT 2021","Thu Aug 19 22:31:27 GMT 2021","11224","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidEmailTest","Sikertelen bejelentkezés teszt -helytelen mail",""
"passed","Thu Aug 19 22:32:20 GMT 2021","Thu Aug 19 22:32:31 GMT 2021","11299","","registration.RegistrationPageTest","","registration.RegistrationPageTest","RegistrationInvalidPasswordTest","Sikertelen regisztráció teszt - generált adatokkal, jelszómegerősítés különbözik",""
"broken","Thu Aug 19 22:30:16 GMT 2021","Thu Aug 19 22:30:38 GMT 2021","22012","","wish.WishlistPageTest","","wish.WishlistPageTest","wishlistDataDeleteTest","Adat vagy adatok törlése",""
"passed","Thu Aug 19 22:32:31 GMT 2021","Thu Aug 19 22:32:43 GMT 2021","12078","","registration.RegistrationPageTest","","registration.RegistrationPageTest","RegistrationEmptyFieldTest","Sikertelen regisztráció teszt - üres adatmezőkkel",""
"passed","Thu Aug 19 22:31:49 GMT 2021","Thu Aug 19 22:32:02 GMT 2021","13377","","book.BookPageTest","","book.BookPageTest","dataBookSaveToFileTest","Adatok lementése felületről teszt - könyv bemutató",""
